SMILES,boiling_point,nHBAcc,nHBDon,nRot,RotRatio,SLogP,SMR,MW,AMW,WPath,WPol,Zagreb1,Zagreb2,mZagreb1,mZagreb2
string,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous
ClC(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,247.5,0,0,1,0.111111,4.3342,50.221,281.79,25.6173,108,15,48,54,7.23611,2.0625
OCC1=CC(F)=CC=C1,201,1,1,1,0.111111,1.318,32.3228,126.048,7.87801,88,9,40,43,3.47222,2.16667
FCOC(C(F)(F)F)C(F)(F)F,58.5,1,0,2,0.181818,2.4232,22.958,200.007,13.3338,188,15,56,60,7.73611,2.58333
CC(Cl)CCCl,134,0,0,2,0.4,2.2426,30.652,126,9.00002,32,3,20,18,3.61111,1.58333
C[SiH](Cl)Cl,41,0,0,0,0,1.3143,24.719,113.946,14.2432,9,0,12,9,3.11111,1
ClCCC[Si](Cl)(Cl)Cl,181.5,0,0,3,0.428571,3.2706,43.457,209.899,14.9928,71,5,32,30,4.8125,1.875
FC(F)C(Br)Br,92.5,0,0,1,0.2,2.3674,27.646,221.849,27.7311,29,4,22,21,4.22222,1.44444
OC(=O)C1=C(F)C(F)=C(F)C(F)=C1F,220,1,1,1,0.0714286,2.0803,33.1913,211.99,14.1326,268,25,70,84,7.77778,3.11111
NC1=CC(Cl)=C(F)C=C1,227.5,1,1,0,0,2.0613,35.8224,145.009,10.3578,84,10,42,46,4.08333,2.02778
CCOC(=O)C(F)(F)C(F)(F)C(F)(F)F,95,2,0,3,0.214286,2.3824,32.582,242.018,12.1009,338,27,74,87,9.79861,3.20833
